                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     42,                0.92257,                0.98659,                0.80684,                      0,                      0,                      0,                      0,                      0,                 165.44,                      0,               0.000868,               0.000868,               0.000868
                     43,                0.92147,                0.96145,                0.81864,                      0,                      0,                      0,                      0,                      0,                 126.31,                      0,              0.0008647,              0.0008647,              0.0008647
                     44,                0.93215,                0.92999,                0.82835,                      0,                      0,                      0,                      0,                      0,                 147.38,                      0,              0.0008614,              0.0008614,              0.0008614
                     45,                 0.9227,                0.91736,                0.81333,                      0,                      0,                      0,                      0,                      0,                 176.75,                      0,              0.0008581,              0.0008581,              0.0008581
                     46,                0.95643,                0.92676,                 0.8161,                      0,                      0,                      0,                      0,                      0,                 188.69,                      0,              0.0008548,              0.0008548,              0.0008548
                     47,                0.98888,                0.95691,                0.82007,                      0,                      0,                      0,                      0,                      0,                 168.31,                      0,              0.0008515,              0.0008515,              0.0008515
                     48,                 0.9229,                0.92106,                0.81837,                      0,                      0,                      0,                      0,                      0,                 167.03,                      0,              0.0008482,              0.0008482,              0.0008482
                     49,                0.90406,                 0.8336,                0.80587,                      0,                      0,                      0,                      0,                      0,                 179.09,                      0,              0.0008449,              0.0008449,              0.0008449
                     50,                 0.9239,                 0.8772,                 0.8215,                      0,                      0,                      0,                      0,                      0,                 172.41,                      0,              0.0008416,              0.0008416,              0.0008416
                     51,                0.94622,                0.88027,                0.80279,                      0,                      0,                      0,                      0,                      0,                 208.97,                      0,              0.0008383,              0.0008383,              0.0008383
                     52,                0.89817,                0.82783,                0.80122,                      0,                      0,                      0,                      0,                      0,                 235.09,                      0,               0.000835,               0.000835,               0.000835
                     53,                0.85007,                0.82629,                0.80754,                      0,                      0,                      0,                      0,                      0,                  193.5,                      0,              0.0008317,              0.0008317,              0.0008317
                     54,                 0.9222,                0.84545,                0.82323,                      0,                      0,                      0,                      0,                      0,                 183.03,                      0,              0.0008284,              0.0008284,              0.0008284
                     55,                0.89306,                0.80598,                0.80743,                      0,                      0,                      0,                      0,                      0,                 207.34,                      0,              0.0008251,              0.0008251,              0.0008251
                     56,                0.84975,                0.77996,                 0.8156,                      0,                      0,                      0,                      0,                      0,                 232.44,                      0,              0.0008218,              0.0008218,              0.0008218
                     57,                0.88424,                0.83072,                0.81798,                      0,                      0,                      0,                      0,                      0,                 226.03,                      0,              0.0008185,              0.0008185,              0.0008185
                     58,                0.91735,                0.81069,                0.80886,                      0,                      0,                      0,                      0,                      0,                 223.16,                      0,              0.0008152,              0.0008152,              0.0008152
                     59,                0.93141,                0.80728,                0.81158,                      0,                      0,                      0,                      0,                      0,                  224.5,                      0,              0.0008119,              0.0008119,              0.0008119
                     60,                0.93462,                0.82245,                0.81705,                      0,                      0,                      0,                      0,                      0,                 217.84,                      0,              0.0008086,              0.0008086,              0.0008086
                     61,                0.91496,                0.78248,                0.81639,                      0,                      0,                      0,                      0,                      0,                 220.19,                      0,              0.0008053,              0.0008053,              0.0008053
                     62,                0.89733,                0.78568,                0.80859,                      0,                      0,                      0,                      0,                      0,                 253.38,                      0,               0.000802,               0.000802,               0.000802
                     63,                 0.8985,                0.77624,                0.80679,                      0,                      0,                      0,                      0,                      0,                    221,                      0,              0.0007987,              0.0007987,              0.0007987
                     64,                0.89239,                0.76217,                0.81348,                      0,                      0,                      0,                      0,                      0,                 193.75,                      0,              0.0007954,              0.0007954,              0.0007954
                     65,                0.94257,                0.79805,                0.80903,                      0,                      0,                      0,                      0,                      0,                 197.81,                      0,              0.0007921,              0.0007921,              0.0007921
                     66,                0.88838,                0.77077,                0.81696,                      0,                      0,                      0,                      0,                      0,                 250.84,                      0,              0.0007888,              0.0007888,              0.0007888
                     67,                0.91395,                0.79186,                0.79797,                      0,                      0,                      0,                      0,                      0,                 291.81,                      0,              0.0007855,              0.0007855,              0.0007855
                     68,                0.91732,                0.76538,                0.80647,                      0,                      0,                      0,                      0,                      0,                 255.12,                      0,              0.0007822,              0.0007822,              0.0007822
                     69,                0.87498,                 0.7411,                 0.8068,                      0,                      0,                      0,                      0,                      0,                 220.75,                      0,              0.0007789,              0.0007789,              0.0007789
                     70,                0.90448,                 0.7348,                0.81031,                      0,                      0,                      0,                      0,                      0,                 199.47,                      0,              0.0007756,              0.0007756,              0.0007756
                     71,                0.87144,                0.75585,                0.80384,                      0,                      0,                      0,                      0,                      0,                 185.06,                      0,              0.0007723,              0.0007723,              0.0007723
                     72,                  0.884,                0.73961,                0.81003,                      0,                      0,                      0,                      0,                      0,                 211.59,                      0,               0.000769,               0.000769,               0.000769
                     73,                0.90845,                0.75872,                0.79943,                      0,                      0,                      0,                      0,                      0,                 225.69,                      0,              0.0007657,              0.0007657,              0.0007657
                     74,                0.90771,                0.73854,                 0.8086,                      0,                      0,                      0,                      0,                      0,                  206.5,                      0,              0.0007624,              0.0007624,              0.0007624
                     75,                0.88524,                0.72279,                0.80192,                      0,                      0,                      0,                      0,                      0,                 250.34,                      0,              0.0007591,              0.0007591,              0.0007591
                     76,                0.84572,                0.70875,                0.80636,                      0,                      0,                      0,                      0,                      0,                 275.88,                      0,              0.0007558,              0.0007558,              0.0007558
                     77,                0.88204,                0.71619,                0.81333,                      0,                      0,                      0,                      0,                      0,                  222.5,                      0,              0.0007525,              0.0007525,              0.0007525
                     78,                0.82692,                0.69718,                0.80416,                      0,                      0,                      0,                      0,                      0,                 286.94,                      0,              0.0007492,              0.0007492,              0.0007492
                     79,                0.84176,                0.66227,                0.81353,                      0,                      0,                      0,                      0,                      0,                 365.62,                      0,              0.0007459,              0.0007459,              0.0007459
                     80,                0.85395,                0.69597,                0.81206,                      0,                      0,                      0,                      0,                      0,                 316.81,                      0,              0.0007426,              0.0007426,              0.0007426
                     81,                0.86501,                0.68142,                0.81868,                      0,                      0,                      0,                      0,                      0,                 245.97,                      0,              0.0007393,              0.0007393,              0.0007393
                     82,                0.81794,                0.67341,                0.81252,                      0,                      0,                      0,                      0,                      0,                 271.12,                      0,               0.000736,               0.000736,               0.000736
                     83,                0.86622,                0.70381,                0.80406,                      0,                      0,                      0,                      0,                      0,                 289.12,                      0,              0.0007327,              0.0007327,              0.0007327
                     84,                0.86414,                0.68608,                0.81213,                      0,                      0,                      0,                      0,                      0,                 261.72,                      0,              0.0007294,              0.0007294,              0.0007294
                     85,                 0.8906,                0.71447,                0.81467,                      0,                      0,                      0,                      0,                      0,                    256,                      0,              0.0007261,              0.0007261,              0.0007261
                     86,                0.87704,                0.70113,                0.80817,                      0,                      0,                      0,                      0,                      0,                 239.12,                      0,              0.0007228,              0.0007228,              0.0007228
                     87,                0.85417,                0.70163,                0.80324,                      0,                      0,                      0,                      0,                      0,                 246.34,                      0,              0.0007195,              0.0007195,              0.0007195
                     88,                0.85159,                0.68112,                0.81003,                      0,                      0,                      0,                      0,                      0,                 263.84,                      0,              0.0007162,              0.0007162,              0.0007162
                     89,                0.87971,                0.67627,                0.80753,                      0,                      0,                      0,                      0,                      0,                 276.81,                      0,              0.0007129,              0.0007129,              0.0007129
                     90,                 0.8801,                0.67709,                0.81251,                      0,                      0,                      0,                      0,                      0,                  249.5,                      0,              0.0007096,              0.0007096,              0.0007096
                     91,                 0.8291,                0.64645,                0.80714,                      0,                      0,                      0,                      0,                      0,                 201.84,                      0,              0.0007063,              0.0007063,              0.0007063
                     92,                0.85175,                 0.6488,                0.79559,                      0,                      0,                      0,                      0,                      0,                 210.59,                      0,               0.000703,               0.000703,               0.000703
                     93,                0.89294,                0.69687,                0.80211,                      0,                      0,                      0,                      0,                      0,                 272.88,                      0,              0.0006997,              0.0006997,              0.0006997
                     94,                0.85704,                0.67509,                0.79821,                      0,                      0,                      0,                      0,                      0,                    319,                      0,              0.0006964,              0.0006964,              0.0006964
                     95,                0.83003,                0.63654,                0.81104,                      0,                      0,                      0,                      0,                      0,                 284.94,                      0,              0.0006931,              0.0006931,              0.0006931
                     96,                0.81044,                0.63932,                0.80511,                      0,                      0,                      0,                      0,                      0,                 227.41,                      0,              0.0006898,              0.0006898,              0.0006898
                     97,                0.84486,                0.65031,                0.79903,                      0,                      0,                      0,                      0,                      0,                 215.69,                      0,              0.0006865,              0.0006865,              0.0006865
                     98,                0.85654,                0.65911,                0.81124,                      0,                      0,                      0,                      0,                      0,                 307.88,                      0,              0.0006832,              0.0006832,              0.0006832
                     99,                0.83172,                0.60661,                0.80007,                      0,                      0,                      0,                      0,                      0,                 313.44,                      0,              0.0006799,              0.0006799,              0.0006799
                    100,                0.84245,                 0.6562,                0.80607,                      0,                      0,                      0,                      0,                      0,                 254.81,                      0,              0.0006766,              0.0006766,              0.0006766
                    101,                0.81104,                0.60084,                0.81502,                      0,                      0,                      0,                      0,                      0,                 209.44,                      0,              0.0006733,              0.0006733,              0.0006733
                    102,                0.86123,                0.63241,                0.81086,                      0,                      0,                      0,                      0,                      0,                 225.22,                      0,                0.00067,                0.00067,                0.00067
                    103,                0.85781,                0.63015,                0.81278,                      0,                      0,                      0,                      0,                      0,                 249.31,                      0,              0.0006667,              0.0006667,              0.0006667
                    104,                 0.8229,                0.63293,                  0.799,                      0,                      0,                      0,                      0,                      0,                 279.41,                      0,              0.0006634,              0.0006634,              0.0006634
                    105,                 0.8665,                0.66875,                0.80482,                      0,                      0,                      0,                      0,                      0,                    261,                      0,              0.0006601,              0.0006601,              0.0006601
                    106,                0.87246,                0.69301,                0.80191,                      0,                      0,                      0,                      0,                      0,                 229.16,                      0,              0.0006568,              0.0006568,              0.0006568
                    107,                0.83277,                0.63255,                0.80316,                      0,                      0,                      0,                      0,                      0,                 204.66,                      0,              0.0006535,              0.0006535,              0.0006535
                    108,                0.87888,                0.65254,                0.81248,                      0,                      0,                      0,                      0,                      0,                 221.97,                      0,              0.0006502,              0.0006502,              0.0006502
                    109,                0.81852,                0.63841,                0.78541,                      0,                      0,                      0,                      0,                      0,                 262.16,                      0,              0.0006469,              0.0006469,              0.0006469
                    110,                0.85749,                0.62512,                0.81713,                      0,                      0,                      0,                      0,                      0,                 327.12,                      0,              0.0006436,              0.0006436,              0.0006436
                    111,                0.84442,                0.63371,                0.80637,                      0,                      0,                      0,                      0,                      0,                 316.38,                      0,              0.0006403,              0.0006403,              0.0006403
                    112,                0.84734,                0.63724,                0.80467,                      0,                      0,                      0,                      0,                      0,                    296,                      0,               0.000637,               0.000637,               0.000637
                    113,                0.82654,                0.61859,                0.79971,                      0,                      0,                      0,                      0,                      0,                 272.69,                      0,              0.0006337,              0.0006337,              0.0006337
                    114,                0.81989,                0.60204,                0.79807,                      0,                      0,                      0,                      0,                      0,                 272.78,                      0,              0.0006304,              0.0006304,              0.0006304
                    115,                 0.8136,                0.58284,                0.81435,                      0,                      0,                      0,                      0,                      0,                 262.28,                      0,              0.0006271,              0.0006271,              0.0006271
                    116,                0.87192,                0.61367,                0.80873,                      0,                      0,                      0,                      0,                      0,                 253.81,                      0,              0.0006238,              0.0006238,              0.0006238
                    117,                0.82228,                0.60033,                0.80569,                      0,                      0,                      0,                      0,                      0,                 249.69,                      0,              0.0006205,              0.0006205,              0.0006205
                    118,                0.83843,                0.59364,                0.80508,                      0,                      0,                      0,                      0,                      0,                 258.75,                      0,              0.0006172,              0.0006172,              0.0006172
                    119,                 0.8216,                 0.6003,                0.79824,                      0,                      0,                      0,                      0,                      0,                 240.59,                      0,              0.0006139,              0.0006139,              0.0006139
                    120,                0.83365,                0.61642,                0.80133,                      0,                      0,                      0,                      0,                      0,                 252.75,                      0,              0.0006106,              0.0006106,              0.0006106
                    121,                0.78417,                0.60137,                0.80316,                      0,                      0,                      0,                      0,                      0,                  300.5,                      0,              0.0006073,              0.0006073,              0.0006073
                    122,                0.79852,                0.57994,                0.80961,                      0,                      0,                      0,                      0,                      0,                    297,                      0,               0.000604,               0.000604,               0.000604
                    123,                0.78528,                0.58815,                0.79669,                      0,                      0,                      0,                      0,                      0,                 259.78,                      0,              0.0006007,              0.0006007,              0.0006007
                    124,                0.78823,                0.56766,                0.80589,                      0,                      0,                      0,                      0,                      0,                 252.72,                      0,              0.0005974,              0.0005974,              0.0005974
                    125,                 0.7829,                0.56816,                0.81309,                      0,                      0,                      0,                      0,                      0,                 277.66,                      0,              0.0005941,              0.0005941,              0.0005941
                    126,                0.80186,                 0.5845,                0.79702,                      0,                      0,                      0,                      0,                      0,                 281.94,                      0,              0.0005908,              0.0005908,              0.0005908
                    127,                0.80302,                0.58386,                0.79019,                      0,                      0,                      0,                      0,                      0,                 269.03,                      0,              0.0005875,              0.0005875,              0.0005875
                    128,                0.79766,                0.57397,                0.80854,                      0,                      0,                      0,                      0,                      0,                  269.5,                      0,              0.0005842,              0.0005842,              0.0005842
                    129,                0.78281,                0.58694,                0.80452,                      0,                      0,                      0,                      0,                      0,                 299.44,                      0,              0.0005809,              0.0005809,              0.0005809
                    130,                 0.7808,                0.58591,                0.79773,                      0,                      0,                      0,                      0,                      0,                 305.88,                      0,              0.0005776,              0.0005776,              0.0005776
                    131,                0.78876,                0.56814,                0.79445,                      0,                      0,                      0,                      0,                      0,                 281.56,                      0,              0.0005743,              0.0005743,              0.0005743
                    132,                0.79049,                0.54506,                0.80652,                      0,                      0,                      0,                      0,                      0,                 261.28,                      0,               0.000571,               0.000571,               0.000571
                    133,                0.80881,                0.55278,                0.80528,                      0,                      0,                      0,                      0,                      0,                    235,                      0,              0.0005677,              0.0005677,              0.0005677
                    134,                0.78597,                0.55973,                0.80865,                      0,                      0,                      0,                      0,                      0,                 314.12,                      0,              0.0005644,              0.0005644,              0.0005644
                    135,                0.78533,                0.56975,                0.80292,                      0,                      0,                      0,                      0,                      0,                 324.06,                      0,              0.0005611,              0.0005611,              0.0005611
                    136,                0.82492,                0.56762,                 0.8113,                      0,                      0,                      0,                      0,                      0,                 310.81,                      0,              0.0005578,              0.0005578,              0.0005578
                    137,                0.82058,                  0.575,                0.79456,                      0,                      0,                      0,                      0,                      0,                 300.44,                      0,              0.0005545,              0.0005545,              0.0005545
                    138,                0.84467,                0.58686,                0.81589,                      0,                      0,                      0,                      0,                      0,                 287.81,                      0,              0.0005512,              0.0005512,              0.0005512
                    139,                0.84652,                0.58823,                0.80591,                      0,                      0,                      0,                      0,                      0,                 275.44,                      0,              0.0005479,              0.0005479,              0.0005479
                    140,                0.83123,                0.58027,                0.80491,                      0,                      0,                      0,                      0,                      0,                 257.09,                      0,              0.0005446,              0.0005446,              0.0005446
                    141,                0.83762,                0.59216,                0.80065,                      0,                      0,                      0,                      0,                      0,                  263.5,                      0,              0.0005413,              0.0005413,              0.0005413
                    142,                 0.8208,                0.56046,                0.79625,                      0,                      0,                      0,                      0,                      0,                 261.75,                      0,               0.000538,               0.000538,               0.000538
                    143,                0.82527,                0.56659,                0.80982,                      0,                      0,                      0,                      0,                      0,                 214.38,                      0,              0.0005347,              0.0005347,              0.0005347
                    144,                0.78945,                 0.5576,                0.79397,                      0,                      0,                      0,                      0,                      0,                  229.5,                      0,              0.0005314,              0.0005314,              0.0005314
                    145,                0.75563,                0.53438,                0.80032,                      0,                      0,                      0,                      0,                      0,                 265.53,                      0,              0.0005281,              0.0005281,              0.0005281
                    146,                0.77801,                0.55302,                0.80975,                      0,                      0,                      0,                      0,                      0,                 285.56,                      0,              0.0005248,              0.0005248,              0.0005248
                    147,                0.76636,                0.54487,                0.79715,                      0,                      0,                      0,                      0,                      0,                 264.31,                      0,              0.0005215,              0.0005215,              0.0005215
                    148,                0.81738,                0.55294,                0.79228,                      0,                      0,                      0,                      0,                      0,                  250.5,                      0,              0.0005182,              0.0005182,              0.0005182
