                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2256,                 1.6146,                 1.2737,                0.64838,                0.53185,                0.61636,                0.45824,                 1.0814,                 1.1178,                  1.124,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                 1.2222,                 1.5078,                 1.2663,                0.67098,                0.54164,                  0.627,                0.46594,                 1.0804,                 1.0981,                 1.1237,              1.196e-05,              1.196e-05,              1.196e-05
                      3,                 1.2072,                 1.4425,                 1.2206,                 0.6837,                0.54247,                0.63183,                0.46998,                 1.0784,                 1.0901,                 1.1233,             9.3058e-06,             9.3058e-06,             9.3058e-06
